name,rating,date,comment
Nam Ho Ah,4 stars,3 months ago,Both indoor and outdoor seatings are comfortable with amazing viewing angles to enjoy the beautiful sightseeing. Serving qualities meet the expectations for the brand. The staff are friendly and helpful. There is only one little convenience that the WC is 2 levels up walking which is not really easy for the elders.
Tung luong,5 stars,7 months ago,"Good spot right inbetween masteri, lumiere and Q2. Good patio seating and good staff."
Nguyễn Tú Tú,5 stars,a year ago,"The food here is rlly good, especially the food and new drink “Galinda” is rlly goo fin my opinion. The service here was great, they always smilling and asking if im enjoying these drinks or food. The atmosphere is not too loud and very warm."
Frankie Vo,5 stars,a year ago,"Starbucks never fails to impress with its cozy atmosphere, friendly staff, and high-quality beverages. Whether you’re in the mood for a classic coffee, a refreshing iced drink, or a delicious seasonal special, there’s always something to …"
nola lulaby,4 stars,a year ago,"Good atmosphere, friendly employees, good coffee.
Would be better if the store uses reusable drinkware for in-store instead of plastic cups."
Duong Dang,5 stars,a year ago,My favorite Starbucks place ❤️ friendly with pet & nice atmosphere for chilling or working.
Tri Nhan Nguyen,1 star,a year ago,"I am gold star member of starbuck, and bought bundle in member app, today is second time the staff tell me they can not access to the app due to system errors, then what point to ask cutomer buy bundle in apps???"
Abdulrahman Abdullah,1 star,3 months ago,I m sorry for 5uat but your staff nor professionals they did not call my name or anything my order was on the table I m the one saw it and went to them even they want me to take it without trey coffee with cake do I have to take it by my hands or on my head???
Phú Hào,5 stars,2 months ago,"Best Starbucks in town! The asmostphere is good, nice staff, will visit again in the future."
서지영,5 stars,3 months ago,Staff is so nice and kind. Coffee is wonderful. We enjoy everyday.
