Store_ID,subprovince,Title,URL
D826,Hanoi,Gamuda,"https://www.google.com/maps/place/Pizza+Hut+Gamuda/@20.9701323,105.8761243,17z/data=!4m18!1m9!3m8!1s0x3135afc4c920db8b:0x32f628ee4439c419!2sPizza+Hut+Gamuda!8m2!3d20.9701323!4d105.8786992!9m1!1b1!16s%2Fg%2F11vbs6p6jj!3m7!1s0x3135afc4c920db8b:0x32f628ee4439c419!8m2!3d20.9701323!4d105.8786992!9m1!1b1!16s%2Fg%2F11vbs6p6jj?entry=ttu&hl=vi"
D426,Binh Duong,Go Di An,"https://www.google.com/maps/place/Pizza+Hut+Signature+-+Go!+D%C4%A9+An/@10.8904973,106.780321,17z/data=!4m8!3m7!1s0x3174d93f3210eb23:0xdc842aae928d2638!8m2!3d10.890492!4d106.7828959!9m1!1b1!16s%2Fg%2F11vq3bcj4m?hl=vi&entry=ttu&hl=vi"
D528,Tay Ninh,Go Hoa Thanh,"https://www.google.com/maps/place/PizzaHut+Go+H%C3%B2a+Th%C3%A0nh/@11.3000388,106.1239553,17z/data=!4m8!3m7!1s0x310b6b1e0b9d2bbb:0xc83c638836978a97!8m2!3d11.3000388!4d106.1265302!9m1!1b1!16s%2Fg%2F11vf99v_4g?entry=ttu&hl=vi"
D955,Dong Nai,Go Tan Hiep,"https://www.google.com/maps/place/Pizza+Hut+Go!+T%C3%A2n+Hi%E1%BB%87p/@10.966613,106.8518956,17z/data=!4m18!1m9!3m8!1s0x3174dd798fd4eca1:0xf913c62426fa2546!2zUGl6emEgSHV0IEdvISBUw6JuIEhp4buHcA!8m2!3d10.9666077!4d106.8544705!9m1!1b1!16s%2Fg%2F11vc06wxfz!3m7!1s0x3174dd798fd4eca1:0xf913c62426fa2546!8m2!3d10.9666077!4d106.8544705!9m1!1b1!16s%2Fg%2F11vc06wxfz?entry=ttu&hl=vi"
D825,Hanoi,Horizon,"https://www.google.com/maps/place/Pizza+Hut+Horizon/@20.9901283,105.8651717,17z/data=!4m8!3m7!1s0x3135ad6ffb5b93eb:0x88fdeb7d433263e3!8m2!3d20.9901283!4d105.8677466!9m1!1b1!16s%2Fg%2F11v4c57lwv?entry=ttu&hl=vi"
D847,Vinh Phuc,Lan Chi Phuc Yen,"https://www.google.com/maps/place/Pizza+Hut+Lan+Chi+Ph%C3%BAc+Y%C3%AAn/@21.2306327,105.6951731,17z/data=!4m18!1m9!3m8!1s0x3134fd61dc137a17:0x9fb415bde71ff91f!2sPizza+Hut+Lan+Chi+Ph%C3%BAc+Y%C3%AAn!8m2!3d21.2306277!4d105.697748!9m1!1b1!16s%2Fg%2F11l5nb3f_b!3m7!1s0x3134fd61dc137a17:0x9fb415bde71ff91f!8m2!3d21.2306277!4d105.697748!9m1!1b1!16s%2Fg%2F11l5nb3f_b?hl=vi&entry=ttu&g_ep=EgoyMDI0MTEwNS4wIKXMDSoASAFQAw%3D%3D"
W001,,W001,
W002,,W002,
W004,,W003,
W003,,W003,
D549,An Giang,Tran Hung Dao LX,"https://www.google.com/maps/place/Pizza+Hut+Long+Xuy%C3%AAn/@10.3777927,105.4400521,15z/data=!4m8!3m7!1s0x310a73b73e4834f1:0xb16acf5d583fad42!8m2!3d10.3777927!4d105.4400521!9m1!1b1!16s%2Fg%2F11h_vv2959?entry=ttu&hl=vi"
D381,Ba Ria Vung Tau,30-4 Vung Tau,"https://www.google.com/maps/place/Pizza+Hut+30-4+V%C5%A9ng+T%C3%A0u/@10.3978395,107.1111561,15z/data=!4m8!3m7!1s0x3175714dc1d303fd:0xcd80be9f4364724c!8m2!3d10.3978395!4d107.1111561!9m1!1b1!16s%2Fg%2F11f6d8z__n?entry=ttu&hl=vi"
D383,Ba Ria Vung Tau,Go Phu My,"https://www.google.com/maps/place/Pizza+Hut+Go+Ph%C3%BA+M%E1%BB%B9/@10.5889375,107.0563125,15z/data=!4m8!3m7!1s0x317513a9ef34cdb5:0xc1462c03c9bb8690!8m2!3d10.5889375!4d107.0563125!9m1!1b1!16s%2Fg%2F11jt0djyvr?entry=ttu&hl=vi"
D382,Ba Ria Vung Tau,Le Thanh Duy,"https://www.google.com/maps/place/Pizza+Hut/@10.4894458,107.173495,15z/data=!4m18!1m9!3m8!1s0x317573da9666e915:0x3b03d7f2e3b2a902!2sPizza+Hut!8m2!3d10.4894458!4d107.173495!9m1!1b1!16s%2Fg%2F11g18dwxvl!3m7!1s0x317573da9666e915:0x3b03d7f2e3b2a902!8m2!3d10.4894458!4d107.173495!9m1!1b1!16s%2Fg%2F11g18dwxvl?entry=ttu&hl=vi"
E321,Ba Ria Vung Tau,PH-Ba Cu,"https://www.google.com/maps/place/Pizza+Hut+Ba+Cu/@10.353869,107.08346,15z/data=!4m8!3m7!1s0x31756fea20b24cb3:0x682c5b845300f6b4!8m2!3d10.353869!4d107.08346!9m1!1b1!16s%2Fg%2F1pp2x9b9j?entry=ttu&hl=vi"
D123,Bac Giang,Go Bac Giang,"https://www.google.com/maps/place/Pizza+Hut+Go+B%E1%BA%AFc+Giang/@21.26682,106.2085253,15z/data=!4m8!3m7!1s0x31356d09f8a27b45:0xd54ebfff11308942!8m2!3d21.26682!4d106.2085253!9m1!1b1!16s%2Fg%2F11k4jdcw1k?entry=ttu&hl=vi"
D844,Bac Ninh,Bac Ninh,"https://www.google.com/maps/place/Pizza+Hut/@21.1719011,106.061922,15z/data=!4m8!3m7!1s0x3135090b24929baf:0xbc10fea6c6184f7a!8m2!3d21.1719011!4d106.061922!9m1!1b1!16s%2Fg%2F11hzd_d9yq?entry=ttu&hl=vi"
