Store_ID,subprovince,Title,URL,Competitor
1,HCM,Pizza 4P’s Lê Đại Hành,"https://www.google.com/maps/place/Pizza+4P's+Le+Dai+Hanh+-+The+Emporium+Building/@10.7650637,106.6553676,17z/data=!4m8!3m7!1s0x31752f0cd6a048fd:0x461d8d512e9a723f!8m2!3d10.7650637!4d106.6553676!9m1!1b1!16s%2Fg%2F11fpf4my_q?authuser=0&hl=vi&entry=ttu&hl=vi",4P
2,HCM,Pizza 4P’s Lê Thánh Tôn,"https://www.google.com/maps/place/Pizza+4P%E2%80%99s+L%C3%AA+Th%C3%A1nh+T%C3%B4n/@10.7818738,106.7051397,17z/data=!4m8!3m7!1s0x31752f4937cb401d:0x985b0267c61f8139!8m2!3d10.7818738!4d106.7051397!9m1!1b1!16s%2Fg%2F11c1qb2jtn?authuser=0&hl=vi&entry=ttu&hl=vi",4P
3,HCM,Pizza 4P's Hai Bà Trưng,"https://www.google.com/maps/place/Pizza+4P's+Hai+B%C3%A0+Tr%C6%B0ng/@10.7830429,106.6969727,17z/data=!4m8!3m7!1s0x31752f3689d6e90b:0xfed9192a456fc218!8m2!3d10.7830429!4d106.6969727!9m1!1b1!16s%2Fg%2F11f30hwc20?authuser=0&hl=vi&entry=ttu&hl=vi",4P
4,HCM,Pizza 4P's Saigon Pearl,"https://www.google.com/maps/place/Pizza+4P's+Saigon+Pearl/@10.789579,106.720885,17z/data=!4m8!3m7!1s0x317529cbd33b4df9:0x39d3bd05b8fb6400!8m2!3d10.789579!4d106.720885!9m1!1b1!16s%2Fg%2F11j4bztbyl?authuser=0&hl=vi&entry=ttu&hl=vi",4P
5,HCM,Pizza 4P's Ben Thanh,"https://www.google.com/maps/place/Pizza+4P's+Ben+Thanh/@10.773108,106.6974778,17z/data=!4m8!3m7!1s0x31752f7998588b7d:0x8f43f3d4a8472384!8m2!3d10.773361!4d106.6976173!9m1!1b1!16s%2Fg%2F11k1lbvf9v?authuser=0&hl=vi&entry=ttu&hl=vi",4P
6,HCM,Pizza 4P's Saigon Centre,"https://www.google.com/maps/place/Pizza+4P's+Saigon+Centre/@10.7733616,106.7005025,17z/data=!4m8!3m7!1s0x31752f343bc5efc3:0x9bd9cfb7eb58a1a9!8m2!3d10.7733616!4d106.7005025!9m1!1b1!16s%2Fg%2F11gbldm4t6?authuser=0&hl=vi&entry=ttu&hl=vi",4P
7,HCM,Pizza 4P’s Võ Văn Kiệt,"https://www.google.com/maps/place/Pizza+4P%E2%80%99s+V%C3%B5+V%C4%83n+Ki%E1%BB%87t/@10.7551082,106.6876645,17z/data=!4m8!3m7!1s0x31752f50232239cb:0x6d311cc56af0adef!8m2!3d10.7551082!4d106.6876645!9m1!1b1!16s%2Fg%2F11fgm61kfy?authuser=0&hl=vi&entry=ttu&hl=vi",4P
8,HCM,Pizza 4P's Xuân Thủy,"https://www.google.com/maps/place/Pizza+4P's+Xu%C3%A2n+Th%E1%BB%A7y/@10.8026229,106.7308124,17z/data=!4m8!3m7!1s0x3175270ab4793e09:0x1ab416c71ad38bcf!8m2!3d10.8026229!4d106.7308124!9m1!1b1!16s%2Fg%2F11h5s3p2vr?authuser=0&hl=vi&entry=ttu&hl=vi",4P
9,HCM,Pizza 4P's Estella,"https://www.google.com/maps/place/Pizza+4P's+Estella/@10.802033,106.7485027,17z/data=!4m8!3m7!1s0x3175279bb37b9a01:0x66cdb1806482d7bc!8m2!3d10.802033!4d106.7485027!9m1!1b1!16s%2Fg%2F11h9183qvh?authuser=0&hl=vi&entry=ttu&hl=vi",4P
10,HCM,Pizza 4P's Giga Mall,"https://www.google.com/maps/place/Pizza+4P's+Giga+Mall/@10.8274793,106.7217033,17z/data=!4m8!3m7!1s0x317529263e48631f:0x7147160fd44ee834!8m2!3d10.8274793!4d106.7217033!9m1!1b1!16s%2Fg%2F11fnr5j2vm?authuser=0&hl=vi&entry=ttu&hl=vi",4P
